Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
28,1,10.0,0,45379.0
110,1,4.0,0,12420.0
28,0,6.0,0,60505.0
28,0,8.0,0,113447.0
28,0,10.0,0,86976.0
126,1,0.5,1,8304.0
50,2,1.0,0,38916.0
151,0,12.0,0,100000.0
151,0,10.0,0,145000.0
151,0,10.0,0,115000.0
151,1,3.0,0,100000.0
28,2,5.0,0,1000000.0
151,0,16.0,0,170000.0
113,2,11.0,0,54049.0
149,2,11.0,0,1000000.0
151,2,9.0,0,83500.0
28,1,16.0,0,75631.0
12,0,4.0,0,9888.0
151,0,10.0,0,300000.0
149,3,3.0,0,41363.0
22,3,10.0,0,35506.0
28,0,4.0,0,86220.0
136,0,10.0,0,1000000.0
64,0,12.0,0,57000.0
50,1,3.0,0,38915.0
62,0,3.0,0,9075.0
151,0,5.0,0,150000.0
47,0,13.0,0,38916.0
99,0,26.0,2,32429.0
103,0,10.0,2,1644.0
151,0,6.0,0,143663.0
62,0,5.0,0,1955.0
151,0,6.0,0,100000.0
135,0,25.0,0,54120.0
8,2,6.0,0,44100.0
151,0,7.0,0,80000.0
151,2,5.0,0,85000.0
151,0,5.0,0,105000.0
104,2,17.0,2,38915.0
50,0,7.0,2,97284.0
151,0,25.0,0,180000.0
151,0,3.0,0,576000.0
151,2,7.0,0,145000.0
151,0,18.0,2,120000.0
151,0,15.0,0,120000.0
131,2,2.0,0,22701.0
151,0,8.0,0,2000000.0
148,0,6.0,0,42468.0
117,0,7.0,2,45396.0
151,0,9.0,0,78000.0
149,0,17.0,0,187426.0
152,1,9.0,2,9456.0
91,2,11.0,0,71100.0
151,0,7.0,0,168000.0
151,0,4.0,0,80000.0
14,0,4.0,0,26400.0
151,0,19.0,0,155000.0
28,2,5.0,0,49160.0
135,1,9.0,0,56460.0
151,2,6.0,0,200000.0
48,2,4.0,0,48648.0
50,1,4.0,0,42804.0
112,1,2.0,0,20352.0
151,2,35.0,0,172000.0
151,0,4.0,0,61000.0
